fixture_id,side,team_id,team_name,team_assists,team_blocks,team_blocksReceived,team_efficiency,team_foulsTotal,team_freeThrowsAttempted,team_freeThrowsMade,team_freeThrowsPercentage,team_minutes,team_plusMinus,team_points,team_pointsThreeAttempted,team_pointsThreeMade,team_pointsThreePercentage,team_pointsTwoAttempted,team_pointsTwoMade,team_pointsTwoPercentage,team_rebounds,team_reboundsDefensive,team_reboundsOffensive,team_steals,team_turnovers
53f2cee6-6715-11f0-9d21-9ffadebc148f,home,25bcb29d-55bc-11f0-8037-fb553c4eab1b,Lyon-Villeurbanne,23.0,6.0,1.0,,16.0,16.0,14.0,87.5,PT200M,,89.0,30.0,11.0,36.67,29.0,21.0,72.41,25.0,20.0,5.0,11.0,15.0
53f2cee6-6715-11f0-9d21-9ffadebc148f,away,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,29.0,2.0,7.0,,13.0,9.0,6.0,66.67,PT200M,,81.0,25.0,11.0,44.0,43.0,21.0,48.84,39.0,23.0,16.0,7.0,21.0
5402bdf0-6715-11f0-a101-9ffadebc148f,home,c281453b-55b7-11f0-a6ef-350ae152a495,Cholet,21.0,2.0,6.0,,24.0,42.0,26.0,61.9,PT225M,,94.0,32.0,8.0,25.0,44.0,22.0,50.0,48.0,31.0,17.0,8.0,12.0
5402bdf0-6715-11f0-a101-9ffadebc148f,away,da0b634d-55bc-11f0-99f8-2dd52d4792f3,Nancy,21.0,6.0,2.0,,29.0,26.0,21.0,80.77,PT225M,,91.0,37.0,12.0,32.43,37.0,17.0,45.95,45.0,31.0,14.0,5.0,18.0
5423072b-6715-11f0-bd8b-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
5423072b-6715-11f0-bd8b-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
542b0576-6715-11f0-8a29-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
542b0576-6715-11f0-8a29-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
543306d1-6715-11f0-9313-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
543306d1-6715-11f0-9313-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
543ad21a-6715-11f0-89c4-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
543ad21a-6715-11f0-89c4-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
5442b09c-6715-11f0-a91b-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
5442b09c-6715-11f0-a91b-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
544a7f77-6715-11f0-a9f2-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
544a7f77-6715-11f0-a9f2-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
5452686c-6715-11f0-92eb-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
5452686c-6715-11f0-92eb-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
545a85c7-6715-11f0-9e74-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
545a85c7-6715-11f0-9e74-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
